id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1473134332424380423	1473134332424380423	2021-12-20 22:32:49 EST	2021-12-20	22:32:49	-0500	49514576	options_experts	Simon		When will the @NFL Follow The Science? If 100 players were just suspended for Covid, but not a single one felt sick, or was hospitalized, why r they suspended?  The number comes out to 0% Zero percent are sick! So why are they suspended?!!  How can the #NFL avoid math?  #omicron	en	[{'screen_name': 'nfl', 'name': 'nfl', 'id': '19426551'}]	[]	[]	0	0	1	['nfl', 'omicron']	[]	https://twitter.com/Options_Experts/status/1473134332424380423	False		0								[]				
1473134331237384198	1473134331237384198	2021-12-20 22:32:48 EST	2021-12-20	22:32:48	-0500	1244217418341384192	wilbertnamanya	Tourist		No Xmas gift, no job, no money, lockdown, Covid-19 now Omicron. Like what should I do, Jesus! 🤦‍♂️🤦‍♂️🤦‍♂️	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/WilbertNamanya/status/1473134331237384198	False		0								[]				
1473134320130805760	1473134320130805760	2021-12-20 22:32:46 EST	2021-12-20	22:32:46	-0500	1064169120	feliz_barbie	★♡ SeXy BaRbieE ★♡		Minuto a minuto: lo último sobre la pandemia de covid-19 y la variante ómicron  https://t.co/wabpkXj4cF	es	[]	['http://dlvr.it/SFm2Sf']	[]	0	0	0	[]	[]	https://twitter.com/feliz_barbie/status/1473134320130805760	False		0								[]				
1473134301852336130	1473083096358694913	2021-12-20 22:32:41 EST	2021-12-20	22:32:41	-0500	4898831031	lauraminer100	Laura Miner, M.A.		@seanwr1983 Death from COVID is not the best metric. Look at overwhelmed healthcare systems where shortages cause other deaths. Consider that omicron deaths is just an imprecise snapshot, not definitive enough yet.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/LauraMiner100/status/1473134301852336130	False		0								[{'screen_name': 'seanwr1983', 'name': 'Sean', 'id': '16859310'}]				
1473134298618159104	1473021393642012674	2021-12-20 22:32:40 EST	2021-12-20	22:32:40	-0500	716789855058051072	taracdennehy	Dr. Tara C. Dennehy 🏳️‍🌈		@IsabellaGhement I still really don’t want to go to the ER with Omicron spreading like wildfire, though… Especially since I think the only solution is more prednisone.  I will use one of my 3 remaining rapid tests to (mostly) rule out COVID, though.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/taracdennehy/status/1473134298618159104	False		0								[{'screen_name': 'IsabellaGhement', 'name': 'Isabella R. Ghement', 'id': '368551889'}]				
1473134289080434692	1473134289080434692	2021-12-20 22:32:38 EST	2021-12-20	22:32:38	-0500	184975034	jetdriverman	Cherif Barsoum		Omicron sweeps across nation, now 73% of new US COVID cases  https://t.co/wOi5ftp8WT	en	[]	['http://a.msn.com/01/en-ca/AAS0gDh?ocid=st']	[]	0	0	0	[]	[]	https://twitter.com/jetdriverman/status/1473134289080434692	False		0								[]				
1473134277349027840	1473134277349027840	2021-12-20 22:32:35 EST	2021-12-20	22:32:35	-0500	1413847110718423046	besthinditech1	Best Hindi Tech		Austin Public Health tweaks thresholds for COVID-19 stages due to omicron surge  https://t.co/ZoV9zwUd25	en	[]	['https://yard.besthinditech.com/austin-public-health-tweaks-thresholds-for-covid-19-stages-due-to-omicron-surge/']	[]	0	0	0	[]	[]	https://twitter.com/BestHindiTech1/status/1473134277349027840	False		0								[]				
1473134267945340931	1473112981194125313	2021-12-20 22:32:33 EST	2021-12-20	22:32:33	-0500	1466205543312277504	techinvest20	Raju Sharma		@MadMoneyOnCNBC @jimcramer Today there was 1st reported death from Omicron in the world since it was found 2-3 weeks back! By now, original covid-19 and Delta had hundreds or thousands of deaths.  I agree with you, Omicron is too much hyped up by media and politicians for their own interests.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/TechInvest20/status/1473134267945340931	False		0								[{'screen_name': 'MadMoneyOnCNBC', 'name': 'Mad Money On CNBC', 'id': '16451932'}, {'screen_name': 'jimcramer', 'name': 'Jim Cramer', 'id': '14216123'}]				
1473134265462263809	1473134265462263809	2021-12-20 22:32:33 EST	2021-12-20	22:32:33	-0500	1064169120	feliz_barbie	★♡ SeXy BaRbieE ★♡		Detectan primer caso de variante ómicron de covid-19 en Panamá  https://t.co/L4sVzEuKVS	es	[]	['http://dlvr.it/SFm2RX']	[]	0	0	0	[]	[]	https://twitter.com/feliz_barbie/status/1473134265462263809	False		0								[]				
1473134265210605569	1473134265210605569	2021-12-20 22:32:32 EST	2021-12-20	22:32:32	-0500	1395670583237480450	_newspod	News Pod		Omicron sweeps across US, accounts for 73 per cent of new Covid-19 cases  https://t.co/awyr7ZtzVB	en	[]	['http://dlvr.it/SFm2Rz']	[]	0	0	0	[]	[]	https://twitter.com/_Newspod/status/1473134265210605569	False		0								[]				
